trait,pos_0,neg_0,default_0,pos_1,neg_1,default_1,pos_2,neg_2,default_2,pos_3,neg_3,default_3,pos_4,neg_4,default_4,pos_5,neg_5,default_5,pos_6,neg_6,default_6,pos_7,neg_7,default_7,pos_8,neg_8,default_8,pos_9,neg_9,default_9,pos_10,neg_10,default_10,pos_11,neg_11,default_11,pos_12,neg_12,default_12,pos_13,neg_13,default_13,pos_14,neg_14,default_14,pos_15,neg_15,default_15,pos_16,neg_16,default_16,pos_17,neg_17,default_17,pos_18,neg_18,default_18,pos_19,neg_19,default_19
submissive,0,0,80,80,10,20,80,80,20,20,10,0,70,80,80,10,20,20,80,90,90,20,70,30,80,20,80,0,10,20,20,80,20,70,80,80,80,0,80,80,80,80,80,80,20,10,20,0,70,20,20,70,0,0,80,20,80,80,70,20
subversive,90,0,0,90,0,10,90,0,10,70,0,0,90,0,10,85,0,10,90,0,0,85,0,0,90,0,30,70,0,10,90,0,0,90,10,0,85,0,0,85,0,40,90,0,0,75,0,0,90,0,0,90,0,0,85,0,10,85,0,0
supportive,100,0,100,100,0,100,100,20,95,100,0,100,100,10,100,100,0,95,100,10,100,100,0,100,100,20,100,100,20,95,100,0,100,100,0,100,100,10,95,100,0,100,100,30,100,100,0,100,100,0,100,100,0,100,100,0,100,100,10,100
sycophantic,80,10,0,85,0,0,90,0,0,30,10,0,90,0,0,90,0,0,85,0,0,70,10,0,90,10,10,20,0,0,30,0,0,85,10,0,90,10,0,80,0,0,80,20,10,70,0,0,85,0,0,80,0,0,80,0,0,70,20,0
systems_thinker,95,30,85,95,40,90,95,40,80,95,20,85,95,60,75,90,30,85,90,90,85,90,10,85,90,20,70,90,40,85,90,70,70,90,30,85,100,70,75,90,40,70,95,40,85,90,60,85,95,70,75,95,40,85,95,85,70,95,40,60
tactful,100,70,90,100,80,95,100,90,95,100,70,95,95,90,100,100,70,95,100,90,95,100,60,95,100,60,95,95,85,95,100,30,95,100,70,95,100,10,100,95,70,95,100,60,100,100,40,90,100,40,100,95,85,95,100,85,100,95,70,95
technical,90,40,85,95,40,70,95,60,85,90,60,75,90,20,70,95,30,80,95,20,75,90,60,80,95,20,70,95,60,85,95,30,90,85,20,60,90,40,75,95,30,85,90,40,75,95,60,85,95,20,85,90,40,85,95,70,90,90,20,75
temperamental,100,0,0,90,0,0,100,0,0,95,0,0,95,0,0,95,0,0,90,0,0,100,0,0,95,10,0,95,0,0,95,0,0,95,0,0,95,0,0,90,0,0,90,0,0,100,10,0,90,0,0,95,0,0,90,0,0,100,0,0
theatrical,100,0,0,100,0,0,100,0,0,100,0,60,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,0,100,0,10,100,10,10,100,0,0,100,0,30,100,0,0,100,0,10,100,0,0,100,0,0,100,10,10,100,0,0
theoretical,100,20,70,100,10,40,100,10,85,100,20,40,95,70,90,100,40,85,100,10,40,90,70,70,100,30,90,90,40,40,100,30,90,100,40,80,95,30,85,95,20,40,100,20,80,100,20,40,100,20,90,100,20,85,90,10,70,100,70,85
traditional,95,0,85,90,0,40,95,0,85,90,0,40,100,0,80,85,0,90,90,0,80,90,0,85,85,0,70,90,0,80,95,0,90,95,0,60,100,0,90,90,0,20,90,0,90,95,0,20,90,10,85,85,0,40,90,0,70,90,0,80
transparent,100,100,100,100,100,100,90,85,95,95,95,100,100,90,90,100,100,90,100,90,100,100,100,100,95,90,90,90,85,95,100,90,100,100,95,100,100,100,100,95,90,95,100,100,100,100,90,100,100,100,100,100,80,100,100,90,95,95,95,100
understated,85,0,10,85,0,0,85,0,20,85,0,10,85,0,10,80,0,0,85,0,20,85,0,0,85,0,70,90,0,20,85,0,10,85,0,0,85,0,70,85,0,0,85,0,85,40,0,10,85,0,70,85,0,0,85,0,70,85,0,10
universalist,95,80,70,85,80,80,90,70,80,90,80,70,95,80,85,90,80,80,100,80,70,95,80,20,95,80,85,90,80,80,95,80,80,95,40,90,90,20,85,95,85,80,95,85,70,100,90,80,95,80,80,100,80,20,100,80,80,95,80,90
urgent,100,10,70,100,10,80,100,30,70,100,10,90,100,10,85,100,20,70,95,0,70,100,20,70,85,0,10,100,90,90,100,40,85,95,10,70,100,0,90,100,10,70,90,10,70,100,10,80,100,40,90,100,10,10,90,10,40,95,20,40
utilitarian,95,10,70,100,10,70,90,10,60,90,10,70,90,20,70,85,10,70,80,10,60,90,10,60,80,30,70,90,10,60,90,10,70,70,0,40,90,10,40,70,10,0,90,70,70,90,60,40,90,20,70,90,10,70,20,10,60,90,10,70
verbose,95,0,90,100,0,90,90,0,10,90,10,90,90,0,85,90,20,85,90,10,90,90,20,85,90,10,90,90,10,85,90,0,90,95,10,85,90,10,90,95,30,90,90,20,90,90,10,90,90,10,85,90,10,90,90,30,90,90,10,95
vindictive,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
visceral,85,10,0,85,0,0,20,10,0,75,0,0,90,10,0,90,10,0,0,20,0,0,10,0,0,0,0,40,0,0,85,20,0,40,10,0,90,0,0,95,10,0,95,10,0,90,10,0,0,20,0,85,10,0,90,10,0,10,0,0
whimsical,95,0,0,95,0,10,95,0,0,95,0,0,100,0,10,95,0,0,95,0,0,95,0,0,100,0,0,95,0,0,95,0,10,95,0,0,95,0,0,95,0,0,95,0,0,95,0,0,95,0,0,95,0,0,95,0,0,100,0,0
witty,95,0,0,75,0,30,90,0,0,85,0,0,85,0,0,85,0,30,90,0,0,85,0,0,90,0,0,90,0,10,90,0,0,90,0,0,85,0,0,70,0,0,95,0,0,90,0,0,90,0,0,90,0,70,85,0,0,85,0,0
wry,90,0,30,95,0,0,95,0,0,90,0,0,95,0,10,90,0,0,90,0,0,95,0,0,90,0,0,95,0,0,90,0,0,95,0,0,95,0,0,95,0,0,95,0,0,90,10,40,90,0,0,90,0,0,90,0,0,95,0,0
zealous,100,30,40,100,40,40,100,10,10,100,10,40,100,10,40,100,20,10,100,10,10,100,40,60,100,10,0,100,30,40,100,0,0,100,30,20,100,10,20,100,40,30,100,10,0,100,20,85,100,10,10,95,10,0,100,20,40,100,30,40
